model_name,recall_multi_hit,recall_single_hit,precision,map,mrr,ndcg,top_k
deepset/all-mpnet-base-v2-table,0.694444444444444,0.694444444444444,0.155555555555556,0.54511316872428,0.546141975308642,0.583172497522827,5
deepset/all-mpnet-base-v2-table,0.805555555555556,0.805555555555556,0.088888888888889,0.560350529100529,0.561379335684891,0.619496747102762,10
sentence-transformers/all-MiniLM-L6-v2,0.796296296296296,0.796296296296296,0.17962962962963,0.620576131687243,0.627469135802469,0.666758673683704,5
sentence-transformers/all-MiniLM-L6-v2,0.828703703703704,0.833333333333333,0.09537037037037,0.623879335684891,0.632006907701352,0.677000301670773,10
sentence-transformers/multi-qa-mpnet-base-dot-v1,0.824074074074074,0.824074074074074,0.183333333333333,0.688001543209877,0.689506172839506,0.722775939825723,5
sentence-transformers/multi-qa-mpnet-base-dot-v1,0.893518518518519,0.898148148148148,0.101851851851852,0.692868900646678,0.700058788947678,0.743762872045185,10
TF_IDF,1.55092592592593,0.87962962962963,0.312962962962963,1.3962962962963,0.834876543209876,1.20436353146936,5
TF_IDF,1.81481481481482,0.898148148148148,0.183333333333333,1.50099941211052,0.837522045855379,1.29154073911688,10
